Data;Hora UTC;PRECIPITACAO TOTAL, HORARIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MINIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIRECAO HORARIA (gr);VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);Ano
2018-12-10;00:00;0.0;923.3;923.3;922.3;;21.5;12.1;22.8;21.5;12.1;11.4;55.0;49.0;55.0;44.0;4.6;0.6;2018
2018-12-10;01:00;0.0;923.7;923.7;923.3;;21.2;11.3;21.6;19.9;12.3;11.3;61.0;52.0;54.0;348.0;3.8;1.5;2018
2018-12-10;02:00;0.0;924.1;924.2;923.6;;21.2;11.8;21.5;20.9;11.8;11.3;55.0;53.0;55.0;360.0;5.6;3.1;2018
2018-12-10;03:00;0.0;924.1;924.2;924.0;;20.3;12.6;21.2;20.3;12.6;11.7;61.0;55.0;61.0;342.0;5.6;1.8;2018
2018-12-10;04:00;0.0;923.5;924.1;923.5;;19.6;12.8;20.3;19.6;12.9;12.5;65.0;61.0;65.0;337.0;4.3;2.0;2018
2018-12-10;05:00;0.0;923.4;923.5;923.4;;19.8;13.3;20.0;19.5;13.4;12.8;66.0;65.0;66.0;54.0;5.5;3.1;2018
2018-12-10;06:00;0.0;923.2;923.4;923.1;;18.7;13.5;19.8;18.7;13.5;13.3;72.0;66.0;72.0;326.0;5.9;3.1;2018
2018-12-10;07:00;0.0;923.4;923.4;923.1;;17.9;14.4;18.7;17.9;14.4;13.4;80.0;72.0;80.0;354.0;5.7;3.5;2018
2018-12-10;08:00;0.0;924.1;924.1;923.4;;17.3;14.7;17.9;17.3;14.8;14.4;85.0;80.0;85.0;355.0;6.4;2.3;2018
2018-12-10;09:00;0.0;925.0;925.0;924.1;32.0;17.6;14.8;17.6;17.1;14.9;14.7;86.0;84.0;84.0;352.0;5.7;3.0;2018
2018-12-10;10:00;0.0;925.8;925.8;925.0;665.9;19.8;15.2;19.9;17.6;15.3;14.9;84.0;74.0;75.0;358.0;6.9;3.5;2018
2018-12-10;11:00;0.0;926.2;926.3;925.8;1596.3;21.2;15.7;21.7;19.7;16.0;14.9;75.0;68.0;71.0;52.0;8.6;4.4;2018
